http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	Reference	Number (Appenidx I)	Family	Species	Loads	Nest	Obs.	M	Acanthaceae	Adoxaceae	Aizoaceae	Amaryllidaceae	Altingiaceae	Anacardiaceae	Apiaceae	Apocynaceae	Aquifoliaceae	Araliaceae	Arecaceae	Asparagaceae	Asphodelaceae	Asteraceae	Balsaminaceae	Berberidaceae	Betulaceae	Bignoniaceae	Bixaceae	Boraginaceae	Brassicaceae	Cactaceae	Calceolariaceae	Campanulaceae	Capparaceae	Caprifoliaceae	Caryophyllaceae	Chenopodiaceae	Cistaceae	Clusiaceae	Colchicaceae	Commelinaceae	Convolvulaceae	Cordiaceae	Cornaceae	Costaceae	Crassulaceae	Cucurbitaceae	Cunoniaceae	Ebenaceae	Elaeagnaceae	Ericaceae	Escalloniaceae	Euphorbiaceae	Fabaceae	Fagaceae	Frankeniaceae	Gentianaceae	Geraniaceae	Grossulariaceae	Heliconiaceae	Hippocastanaceae	Hydrangaceae	Hypericaceae	Iridaceae	Juglandaceae	Juncaceae	Krameriaceae	Lamiaceae	Limnocharitaceae	Lauraceae	Liliaceae s.l.	Linaceae	Loasaceae	Lythraceae	Malpighiaceae	Malvaceae	Melanthiaceae	Melastomataceae	Meliaceae	Mimosaceae	Molluginaceae	Monocots	Muntingiaceae	Montiaceae	Myrtaceae	Nitrariaceae	Nyctaginaceae	Oleaceae	Onagraceae	Orobanchaceae	Oxalidaceae	Papaveraceae	Parnassiaceae	Passifloraceae	Phytolaccaceae	Pinaceae	Plantaginaceae	Plumbaginaceae	Poaceae	Polemoniaceae	Polygonaceae	Pontederiaceae	Primulaceae	Protaceae	Pteridaceae	Ranunculaceae	Resedaceae	Rhamnaceae	Rosaceae	Rubiaceae	Rutaceae	Salicaceae	Santalaceae	Sapindaceae	Saxifragaceae	Scrophulariaceae	Solanaceae	Sterculiaceae	Tamaricaceae	Theaceae	Turneraceae	Ulmaceae	Urticaceae	Verbenaceae	Violaceae	Vitaceae	Xanthorrhoaceae	Zygophyllaceae	Unknown
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L488	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Halictus rubicundus	16			16						6.7								1.1							35.6					1.6							6.0		5.6										7.6											3.6																			1.8																						14.0			11.5			0.8		1.0								3.1							
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L489	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Halictus scabiosae	33			33							1.5							83.5												11.7			2.9																0.3									0.0																																														0.1																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L490	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Halictus subauratus	21			21							14.2							35.5						12.8	4.2			8.1		5.6			5.3																2.3																																											1.3												5.5															5.2					
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L491	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Halictus tumulorum	26	null	null	26							0.2					1.9		16.3							15.6						3.2																		10.6	7.3			0.2										7.8																													3.2									13.3		0.1	9.2	4.3		1.5		5.2															
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L492	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Kuhlmann and Eardley (2011)	17	Melittidae	Haplomelitta ogilviei	17	null	null	17														16.0										81.0																																																																																																3.0
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L493	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Megachilidae	Heriades carinata	10	null	null	10		1.5				30.8																																							3.6														64.1																																																													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L494	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989) + Novel data	86; n/a	Megachilidae	Heriades crenulata	2	null	Obs.	10														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L495	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Amiet et al. (2004) + Novel data	101	Megachilidae	Heriades rubicola	5	null	Obs.	10														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L496	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989) + Novel data	86; n/a	Megachilidae	Heriades truncorum	3	null	Obs.	10														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L497	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. & Trunz, V. (2014)	35	Megachilidae	Hofferia mauritanica	27	null	null	27														100.0																																																																																																										
