http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	Reference	Number (Appenidx I)	Family	Species	Loads	Nest	Obs.	M	Acanthaceae	Adoxaceae	Aizoaceae	Amaryllidaceae	Altingiaceae	Anacardiaceae	Apiaceae	Apocynaceae	Aquifoliaceae	Araliaceae	Arecaceae	Asparagaceae	Asphodelaceae	Asteraceae	Balsaminaceae	Berberidaceae	Betulaceae	Bignoniaceae	Bixaceae	Boraginaceae	Brassicaceae	Cactaceae	Calceolariaceae	Campanulaceae	Capparaceae	Caprifoliaceae	Caryophyllaceae	Chenopodiaceae	Cistaceae	Clusiaceae	Colchicaceae	Commelinaceae	Convolvulaceae	Cordiaceae	Cornaceae	Costaceae	Crassulaceae	Cucurbitaceae	Cunoniaceae	Ebenaceae	Elaeagnaceae	Ericaceae	Escalloniaceae	Euphorbiaceae	Fabaceae	Fagaceae	Frankeniaceae	Gentianaceae	Geraniaceae	Grossulariaceae	Heliconiaceae	Hippocastanaceae	Hydrangaceae	Hypericaceae	Iridaceae	Juglandaceae	Juncaceae	Krameriaceae	Lamiaceae	Limnocharitaceae	Lauraceae	Liliaceae s.l.	Linaceae	Loasaceae	Lythraceae	Malpighiaceae	Malvaceae	Melanthiaceae	Melastomataceae	Meliaceae	Mimosaceae	Molluginaceae	Monocots	Muntingiaceae	Montiaceae	Myrtaceae	Nitrariaceae	Nyctaginaceae	Oleaceae	Onagraceae	Orobanchaceae	Oxalidaceae	Papaveraceae	Parnassiaceae	Passifloraceae	Phytolaccaceae	Pinaceae	Plantaginaceae	Plumbaginaceae	Poaceae	Polemoniaceae	Polygonaceae	Pontederiaceae	Primulaceae	Protaceae	Pteridaceae	Ranunculaceae	Resedaceae	Rhamnaceae	Rosaceae	Rubiaceae	Rutaceae	Salicaceae	Santalaceae	Sapindaceae	Saxifragaceae	Scrophulariaceae	Solanaceae	Sterculiaceae	Tamaricaceae	Theaceae	Turneraceae	Ulmaceae	Urticaceae	Verbenaceae	Violaceae	Vitaceae	Xanthorrhoaceae	Zygophyllaceae	Unknown
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L708	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989)	86	Melittidae	Melitta tricincta	null	null	null	10																																																																																	100.0																																							
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L709	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989)	86	Andrenidae	Melitturga clavicornis	null	null	null	10																																													100.0																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L710	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Le Divelec (2022)	92	Halictidae	Nomiapis diversipes	19	null	null	19														7.7							0.8					0.5							4.1												35.4		10.8							4.1					7.9																													9.5									3.2			10.8	4.8																			0.4
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L711	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood & Le Divelec (2022)	92	Halictidae	Nomiapis paulyi	10	null	null	10							12.5							44.2							8.7					10.7			1.3				2.0												1.3														15.5																																						1.4				2.4																			
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L712	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Erythrosmia) andrenoides	47	null	null	47														0.2						1.8	2.1			1.7					2.7								5.9								22.6														43.0																													20.0																																
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L713	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Erythrosmia) erythrogastra	19	null	null	19														1.9						9.9	0.6																								32.0														32.5																													20.0																																3.1
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L714	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Erythrosmia) relicta	15	null	null	15																				0.4																	1.0								2.0														54.0														30.0															2.6												7.2																				2.8
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L715	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Erythrosmia) sparsipuncta	20	null	null	20																				27.9	1.2																								30.8														31.2																													8.1																																0.8
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L716	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996b)	39	Megachilidae	Osmia (Helicosmia) aurulenta	26	null	null	26																																													64.3														35.7																																																													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L717	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996b)	39	Megachilidae	Osmia (Helicosmia) caerulescens	22	null	null	22																																													65.5														34.5																																																													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L718	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Megachilidae	Osmia (Helicosmia) labialis	50	null	null	50														99.8															0.2																																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L719	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Hemiosmia) anceps	19	null	null	19																																													100.0																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L720	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Hemiosmia) argyropyga	30	null	null	30																																													100.0																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L721	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Hemiosmia) balearica	13	null	null	13																																													100.0																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L722	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Hemiosmia) chrysolepta	18	null	null	18																				3.7																									95.4																																																																										0.5	0.4
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L723	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Hemiosmia) difficilis	27	null	null	27																																													100.0																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L724	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Hemiosmia) uncicornis	24	null	null	24																																													100.0																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L725	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018b)	44	Megachilidae	Osmia (Hoplosmia) anceyi	26	null	null	26														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L726	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018b)	44	Megachilidae	Osmia (Hoplosmia) bidentata	62	null	null	62														99.5																															0.5																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L727	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018b)	44	Megachilidae	Osmia (Hoplosmia) carbo	23	null	null	23														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L728	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018b)	44	Megachilidae	Osmia (Hoplosmia) centaureae	28	null	null	28														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L729	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018b)	44	Megachilidae	Osmia (Hoplosmia) croatica	30	null	null	30														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L730	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018b)	44	Megachilidae	Osmia (Hoplosmia) distinguenda	34	null	null	34														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L731	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018b)	44	Megachilidae	Osmia (Hoplosmia) ligurica	50	null	null	50														98.5							0.5			0.5																																																																										0.5																						
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L732	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018b)	44	Megachilidae	Osmia (Hoplosmia) padri	30	null	null	30														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L733	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018b)	44	Megachilidae	Osmia (Hoplosmia) picena	21	null	null	21														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L734	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018b)	44	Megachilidae	Osmia (Hoplosmia) pinguis	19	null	null	19														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L735	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018b)	44	Megachilidae	Osmia (Hoplosmia) spinigera	29	null	null	29														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L736	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1994)	36	Megachilidae	Osmia (Hoplosmia) spinulosa	15	null	null	15														99.0																																																																																																										1.0
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L737	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Megachilidae	Osmia (Melanosmia) alticola	16	null	null	16																																													99.8																																																																											0.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L738	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Megachilidae	Osmia (Melanosmia) inermis	50	null	null	50																																										5.0			91.7														1.6																																									1.7																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L739	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A., Prosi, R., Praz, C. & Richter, H. (2019)	49	Megachilidae	Osmia (Melanosmia) nigriventris	50	null	null	50																				0.9									5.6													26.6			64.5			2.1																																																																								0.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L740	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Megachilidae	Osmia (Melanosmia) parietina	50	null	null	50																													1.9																92.9			0.3											3.9																																									1.0																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L741	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Prosi, R., Wiesbauer, H. & Müller, A. (2016)	66	Megachilidae	Osmia (Melanosmia) pilicornis	52	null	null	52												2.1		0.3						61.4						0.8																			17.6														14.5																																									1.9																0.2				1.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L742	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Megachilidae	Osmia (Melanosmia) steinmanni	15	null	null	15																																										2.2			97.8																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L743	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Megachilidae	Osmia (Melanosmia) uncinata	50	null	null	50				1.2																0.3						0.7			0.1								0.1								77.7			0.3											6.9																													1.6									0.8			9.9																				0.4
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L744	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Megachilidae	Osmia (Melanosmia) xanthomelana	50	null	null	50																																													100.0																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L745	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) apicata	52	null	null	52																				100.0																																																																																																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L746	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) bicornis	50	null	null	50														0.2						3.6	4.5			0.1		2.4	0.1		14.1																1.2	16.7										0.7			2.8								0.6						0.3										10.6					0.7									22.1			4.9			1.9		10.4															2.1
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L747	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) cerinthidis	52	null	null	52																				92.8																																																					1.4																											4.9																				0.9
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L748	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) cornifrons	28	null	null	28				0.7					1.3												13.6																					2.5			43.6														4.2																																						0.2			26.3			4.2																	3.4
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L749	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) cornuta	50	null	null	50																					2.4																					1.8																															6.7										7.2														1.7			57.5			13.8		7.0															1.9
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L750	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) emarginata	24	null	null	24																				38.0									27.7																26.6														0.6																								7.1																																					
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L751	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) excavata	19	null	null	19																				0.1	67.8					6.3																			12.9																												4.7																								0.7			4.1																				3.4
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L752	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) fedtschenkoi	22	null	null	22																					5.1					1.5																			77.9																																																							13.5			1.4																	0.6
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L753	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) kohli	33	null	null	33							0.4													8.9	4.1								3.3																32.3	1.1										0.5			0.9																								43.3														4.4			0.1																				0.7
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L754	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) lignaria	50	null	null	50														0.3						18.7																									17.1	0.1				0.5																													1.2																					16.9			27.3		11.0															6.9
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L755	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) maxillaris	23	null	null	23																																													100.0																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L756	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) melanocephala	12	null	null	12																				1.5						2.4																			73.0																												9.3																											10.4																				3.4
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L757	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) mustelina	50	null	null	50														0.5						5.0									16.4																58.4																																						16.7					1.5									0.1			1.1																				0.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L758	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) nigrohirta	27	null	null	27							0.3							3.8						16.3	3.1								7.5																51.6														12.8																								0.2					1.2												1.4																				1.8
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L759	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) pedicornis	32	null	null	32														1.0							12.7																								34.1	23.3										5.3																																									19.1			3.4																				1.1
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L760	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) ribifloris	50	null	null	50						1.4										15.3																								3.3		50.5			18.1					8.0									1.4																																									2.0																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L761	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) scheherazade	18	null	null	18																																													100.0																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L762	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) taurus	12	null	null	12					9.5									2.6							5.0					5.7																			21.2	12.9										38.1																																									0.2			4.8																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L763	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Haider, M., Dorn, S., Sedivy, C. & Müller, A. (2014)	12	Megachilidae	Osmia (Osmia) tricornis	50	null	null	50														0.1						3.7	3.0								67.1																5.6														0.8												0.3		0.5										14.1					0.3									1.5			0.8																				2.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L764	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Tergosmia) agilis	17	null	null	17														1.3							3.1																								92.0																																						2.3																																					1.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L765	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Tergosmia) avosetta	38	null	null	38																																													100.0																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L766	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Tergosmia) glareola	19	null	null	19																																													95.8																																																																											4.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L767	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Tergosmia) lunata	30	null	null	30																				0.1																									99.9																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L768	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Tergosmia) rhodoensis	38	null	null	38														0.9							1.8			4.5																					84.9																																																					4.7																						3.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L769	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2020)	45	Megachilidae	Osmia (Tergosmia) tergestensis	40	null	null	40																													0.3																95.3																																																																											4.4
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L770	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Megachilidae	Osmia atriventris	19	null	null	19																					4.4																					18.7			37.0																																																							37.3					2.6															
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L771	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989) + Novel data	86; n/a	Megachilidae	Osmia brevicornis	1	null	Obs.	10																					100.0																																																																																																			
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L772	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Tepedino et al. (2011)	84	Megachilidae	Osmia brevis	46	null	null	46																																																																																								100.0																																
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L773	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Megachilidae	Osmia bucephala	14	null	null	14														0.4																												26.2			52.6																	1.1																																			8.5			11.3																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L774	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Cripps and Rust (1989)	3	Megachilidae	Osmia californica	28	null	null	28														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L775	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Megachilidae	Osmia conjuncta	13	null	null	13														3.2																															26.8																																																				0.5			69.5																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L776	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989)	86	Megachilidae	Osmia gallarum	null	null	null	10																																													100.0																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L777	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Nilsson (2009)	54	Megachilidae	Osmia laticeps	null	null	null	10																																										100.0																																																																														
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L778	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989) + Novel data	86; n/a	Megachilidae	Osmia leaiana	2	null	Obs.	10														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L779	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Cripps and Rust (1989)	3	Megachilidae	Osmia montana	27	null	null	27														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L780	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989)	86	Megachilidae	Osmia niveata	null	null	null	10														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L781	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Megachilidae	Osmia pumila	17	null	null	17						2.2																				15.3																			48.5														1.8																																								0.5	23.0			6.2																	2.5
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L782	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Parker and Tepedino (1982)	58	Megachilidae	Osmia sculleini	13	null	null	13																				100.0																																																																																																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L783	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018b)	44	Megachilidae	Osmia(Hoplosmia) scutellaris	50	null	null	50														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L784	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Kuhlmann and Timmermans (2009)	19	Megachilidae	Othinosmia schultzei	null	Nest	null	10														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L785	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data + Rozen (1971)	n/a; 69	Andrenidae	Panurginus albopilosus	10			10																					100.0																																																																																																			
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L786	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Andrenidae	Panurginus herzi	50	null	null	50																													0.5													0.3																																																										99.2																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L787	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Andrenidae	Panurginus montanus	50	null	null	50							0.3							0.2							2.3						1.5		39.3								0.3																																												1.6																2.8			50.4						0.3														1.0
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L788	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989)	86	Andrenidae	Panurgus banksianus	null	null	null	10														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L789	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989)	86	Andrenidae	Panurgus calcaratus	null	null	null	10														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L790	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2022)	100	Andrenidae	Panurgus calceatus	10			10														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L791	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2022)	100	Andrenidae	Panurgus canescens	12	null	null	12														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L792	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2022)	100	Andrenidae	Panurgus cephalotes	28	null	null	28														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L793	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Westrich (1989)	86	Andrenidae	Panurgus dentipes	null	null	null	10														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L794	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2022)	100	Andrenidae	Panurgus maroccanus	14	null	null	14														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L795	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood et al. (2022)	100	Andrenidae	Panurgus perezi	23	null	null	23														100.0																																																																																																										
